review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R16YC6SMGKA8SR,5,23,23,N,Y
R5O4WE9UM60B0,1,29,29,N,Y
R2EKRVCRC7U0IY,1,22,24,N,Y
R2OKV47GETH0L7,5,24,24,N,Y
R36LII9IITE17,1,22,24,N,Y
R35VKNE16PFY0H,5,22,24,N,N
R3TG008LHHZZIN,5,123,125,N,Y
R2FYQBKCC1XG4M,5,20,20,N,Y
R63PV336NI5X7,1,27,28,N,Y
R1R42WPHB5ZSWI,5,51,52,N,Y
RXSS0QZJE1TEO,1,35,35,N,Y
RGS9C5XKWVYP9,1,24,24,N,Y
R3R5BWMKH1EUIQ,5,26,27,N,N
R2KBDT7RGO1G86,3,33,39,N,Y
R2WA09RFYT69GB,5,21,22,N,Y
RYNTUAMCHU3W4,5,22,22,N,Y
R3U5NCDM6NLHLC,5,29,30,N,Y
R8708W8U0Z89A,2,37,38,N,Y
RFT7R66D3SA54,5,23,24,N,Y
R1OI5TTOS49U8R,5,33,34,N,Y
R360QAUTFX3XGS,5,43,47,N,Y
R8E254ARTMOH2,5,42,42,N,N
R6HKG5VVEAFPQ,5,22,24,N,Y
R1V4IQ6DBQQVVM,5,31,33,N,Y
R3H1XXXM8RFRPM,5,49,49,N,Y
R63MGFSYMRVJ0,1,19,20,N,Y
R29SOCJ7PJMNCD,5,22,22,N,Y
R1534HLGONFTDL,1,26,27,N,Y
R18819P9TZBOU9,5,18,20,N,Y
R1SWBFURJ1G68W,5,64,66,N,Y
R6R3IS2Q14NJL,5,20,20,N,Y
R38P70UEW4CTHN,2,31,35,N,Y
R3B7ZPVZ5YC9UO,5,21,22,N,Y
R3RIXDDXBMCIJR,1,82,83,N,Y
R2I8UCTP4443IO,1,54,55,N,Y
R18LWT0AOXL013,5,34,34,N,N
R34HJHU987RWIR,1,21,21,N,Y
R1O3WL9ADM9E3Z,1,28,34,N,N
R2TEJ9FEI8IN8Q,5,38,40,N,Y
RMYM3AFVOELAG,4,28,28,N,Y
RZE4W6UUTQHZH,5,30,32,N,Y
RROW6WT4A64C,5,23,27,N,Y
RIG8NUG0WW1HW,5,19,20,N,Y
R2VTGCP6KMNRX3,5,19,20,N,Y
R3ML8UOIJB157Z,5,21,22,N,Y
R22YQBBL40II15,4,26,26,N,Y
R2OKTZSITVEWZR,1,20,22,N,Y
R1RP56QLG3HU0U,1,24,24,N,N
R2LSIMR7FJTBNR,4,25,26,N,Y
R3CXD505IMHGKJ,5,23,23,N,Y
RP95J5DAS3ONG,2,33,33,N,Y
R3N4UPDACJ4AJ1,5,113,113,N,Y
R1ASGX79DGXX70,5,81,82,N,Y
R1IMWQ5012PFCM,5,20,20,N,Y
RWOXCZ9CBN9BD,5,21,22,N,Y
RT3J88Y8L0X8D,1,19,21,N,Y
R1S9I1NVFJ87L0,5,26,30,N,N
R1V7CMBWFDBO1G,1,40,41,N,Y
R29DQHOBI1ZQD4,5,19,26,N,N
R2JTBUG9O2NXD5,5,25,32,N,Y
R1A9F5J9U4UHIB,4,42,42,N,Y
R30OR5MQUA5KPU,1,18,21,N,Y
R6LPY1EU8X66P,5,43,43,N,Y
R2585N7OCD5C25,4,76,78,N,Y
R2POI2B71PO0HB,5,38,40,N,Y
R2JREGBSOTA43J,5,57,62,N,Y
R3U44SLOP5GM6J,3,23,23,N,Y
R1X942PEHMPAMO,2,37,47,N,Y
R177CKGHYHAIR0,5,20,20,N,Y
R3Z5TTBD4MBA7,1,22,24,N,Y
R6IAK5B3670US,5,38,40,N,Y
R5EFE69T3HH9Q,1,25,26,N,Y
R1674QFU9DEMYQ,5,19,20,N,Y
R3ABNGXR5PGWED,5,57,59,N,Y
R3DHYPDB0C92,1,27,28,N,Y
R3A3T569O4HLIQ,1,17,20,N,Y
R23U3PEJ923BZS,5,20,21,N,Y
R3332DNLXK8XCH,5,38,39,N,Y
R26HT8URDYEV98,5,20,21,N,N
R1D50IYGM6CVTK,1,28,28,N,Y
R2YGUWZB197JSD,5,21,22,N,N
R28MBQ0LZN0FTO,2,25,25,N,Y
R3IO2CRMFXMAO7,1,20,21,N,Y
R1QC5T1Q4XTW8M,5,43,43,N,Y
R31FL4CO0DSG84,5,18,20,N,N
R11H3YGMDY084M,5,72,72,N,N
R3PIJ9DLIJ08ER,1,77,99,N,Y
R1Z51A4Y4TRCMV,5,26,31,N,Y
RH3HMTJFQ60ZA,5,31,32,N,Y
R2L83L6FQYRBD6,5,33,36,N,N
R3NJ7U84JMTI2K,5,26,26,N,N
R1IE52ZXIKMOGG,5,18,20,N,Y
R28J4ZE1T4IFH1,3,20,20,N,Y
RHAT8CXGPU9O8,5,19,24,N,N
R1NDAUKENECC9T,5,68,71,N,Y
R2SP8R5GB2FJZF,5,36,36,N,Y
R1Z0NZ2OQVBQTN,1,18,20,N,N
R33MWUYMD6815E,2,35,35,N,Y
R2G9PQHV69RTU6,4,22,25,N,Y
R3F5P92343IM42,4,23,24,N,Y
R1PWFPATH4DVGS,1,23,26,N,N
R10P17WOEJJR5E,5,21,21,N,Y
RLHK6R0LOAGOT,5,34,36,N,Y
RRC8H41ZD7S0W,5,31,34,N,Y
